time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,7,7,,
2025-10-11 00:00:00+00:00,8,8,,
2025-10-12 00:00:00+00:00,2,2,,
2025-10-13 00:00:00+00:00,15,4,,
2025-10-14 00:00:00+00:00,39,9,2.0,1.0
2025-10-15 00:00:00+00:00,7,7,,
2025-10-16 00:00:00+00:00,18,6,,
2025-10-17 00:00:00+00:00,13,7,1.0,1.0
2025-10-18 00:00:00+00:00,20,5,,
2025-10-19 00:00:00+00:00,12,6,,
2025-10-20 00:00:00+00:00,5,5,,
2025-10-21 00:00:00+00:00,22,7,1.0,1.0
2025-10-22 00:00:00+00:00,16,6,2.0,2.0
2025-10-23 00:00:00+00:00,8,3,,
