time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-02 00:00:00+00:00,16,15,4.0,1.0
2025-07-03 00:00:00+00:00,12,10,35.0,3.0
2025-07-04 00:00:00+00:00,12,10,4.0,3.0
2025-07-05 00:00:00+00:00,6,6,,
2025-07-06 00:00:00+00:00,4,4,,
2025-07-07 00:00:00+00:00,11,10,2.0,2.0
2025-07-08 00:00:00+00:00,17,8,33.0,5.0
2025-07-09 00:00:00+00:00,60,14,31.0,4.0
2025-07-10 00:00:00+00:00,27,9,6.0,2.0
2025-07-11 00:00:00+00:00,31,10,11.0,4.0
2025-07-12 00:00:00+00:00,9,9,,
2025-07-13 00:00:00+00:00,5,5,2.0,2.0
2025-07-14 00:00:00+00:00,3,3,,
2025-07-15 00:00:00+00:00,2,2,1.0,1.0
