time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-09 00:00:00+00:00,22,6,8.0,1.0
2025-06-10 00:00:00+00:00,2,2,14.0,1.0
2025-06-11 00:00:00+00:00,2,2,30.0,4.0
2025-06-12 00:00:00+00:00,8,6,,
2025-06-13 00:00:00+00:00,7,7,,
2025-06-14 00:00:00+00:00,3,3,,
2025-06-15 00:00:00+00:00,8,8,13.0,1.0
2025-06-16 00:00:00+00:00,20,6,30.0,2.0
2025-06-17 00:00:00+00:00,6,6,86.0,1.0
2025-06-18 00:00:00+00:00,3,3,,
2025-06-19 00:00:00+00:00,9,7,,
2025-06-20 00:00:00+00:00,4,4,,
2025-06-21 00:00:00+00:00,3,3,25.0,1.0
2025-06-22 00:00:00+00:00,1,1,,
