time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,18,10,0,0
2026-03-30 00:00:00+00:00,18,7,1,1
2026-03-31 00:00:00+00:00,16,10,2,1
2026-04-01 00:00:00+00:00,14,8,0,0
2026-04-02 00:00:00+00:00,7,5,0,0
2026-04-03 00:00:00+00:00,33,14,1,1
2026-04-04 00:00:00+00:00,13,9,1,1
2026-04-05 00:00:00+00:00,20,8,0,0
2026-04-06 00:00:00+00:00,13,6,0,0
2026-04-07 00:00:00+00:00,13,7,1,1
2026-04-08 00:00:00+00:00,4,4,2,2
2026-04-09 00:00:00+00:00,6,4,1,1
2026-04-10 00:00:00+00:00,23,14,0,0
2026-04-11 00:00:00+00:00,43,14,0,0
