time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-18 00:00:00+00:00,17,9,2,2
2026-05-19 00:00:00+00:00,33,11,3,3
2026-05-20 00:00:00+00:00,17,7,0,0
2026-05-21 00:00:00+00:00,20,9,0,0
2026-05-22 00:00:00+00:00,18,9,2,2
2026-05-23 00:00:00+00:00,9,9,4,2
2026-05-24 00:00:00+00:00,44,17,2,2
2026-05-25 00:00:00+00:00,38,11,0,0
2026-05-26 00:00:00+00:00,7,5,2,2
2026-05-27 00:00:00+00:00,27,8,0,0
2026-05-28 00:00:00+00:00,19,8,0,0
2026-05-29 00:00:00+00:00,28,9,3,3
2026-05-30 00:00:00+00:00,45,19,1,1
2026-05-31 00:00:00+00:00,15,10,0,0
